TIME,RETRIEVER_TYPE,COUNT_QUERY_RUN,TOPK_RETRIEVER,TOPK_RANKER,RANK1_MEAN,NDCG_MEAN,NDCG_LIMIT,TIME_SPENT_MEAN,CRITERIA,RETRIEVER_MODEL_NAME,RANKER_MODEL_NAME,COUNT_QUERY_WITHOUT_RESULT,COUNT_QUERY_NOT_FOUND
2023-Jun-17 10:25:25,sts_multihop,100,300,0.0,17.932,20.11,12,19.838,extra,rufimelo/Legal-BERTimbau-sts-large-ma-v3,unicamp-dl/mt5-3B-mmarco-en-pt,,
2023-Jun-17 10:29:23,bm25,100,300,0.0,3.75,62.094,12,0.703,area,,unicamp-dl/mt5-3B-mmarco-en-pt,,
2023-Jun-17 12:07:40,sts_multihop,100,300,0.0,4.37,57.681,12,0.054,area,rufimelo/Legal-BERTimbau-sts-large-ma-v3,,,
2023-Jun-17 12:07:42,sts,100,300,0.0,3.62,61.063,12,0.025,area,rufimelo/Legal-BERTimbau-sts-large-ma-v3,,,
2023-Jun-17 12:07:44,bm25,100,300,0.0,5.59,49.052,12,0.011,area,,,,
2023-Jun-17 12:08:35,sts_multihop,100,300,0.0,64.729,15.113,12,0.296,theme,rufimelo/Legal-BERTimbau-sts-large-ma-v3,,,
2023-Jun-17 12:08:50,sts,100,300,0.0,49.122,19.072,12,0.148,theme,rufimelo/Legal-BERTimbau-sts-large-ma-v3,,,
2023-Jun-17 12:09:04,bm25,100,300,0.0,30.635,40.072,12,0.13,theme,,,,
2023-Jun-17 12:09:55,sts_multihop,100,300,0.0,94.409,10.641,12,0.296,subtheme,rufimelo/Legal-BERTimbau-sts-large-ma-v3,,,
2023-Jun-17 12:10:10,sts,100,300,0.0,79.581,12.985,12,0.146,subtheme,rufimelo/Legal-BERTimbau-sts-large-ma-v3,,,
2023-Jun-17 12:10:23,bm25,100,300,0.0,55.203,23.655,12,0.131,subtheme,,,,
2023-Jun-17 12:11:14,sts_multihop,100,300,0.0,96.63,3.879,12,0.294,extra,rufimelo/Legal-BERTimbau-sts-large-ma-v3,,,
2023-Jun-17 12:11:29,sts,100,300,0.0,84.658,6.022,12,0.149,extra,rufimelo/Legal-BERTimbau-sts-large-ma-v3,,,
2023-Jun-17 12:11:43,bm25,100,300,0.0,30.824,19.187,12,0.13,extra,,,,
2023-Jun-17 12:12:34,sts_multihop,100,300,0.0,54.673,5.107,12,0.298,total,rufimelo/Legal-BERTimbau-sts-large-ma-v3,,,
2023-Jun-17 12:12:49,sts,100,300,0.0,38.75,7.473,12,0.147,total,rufimelo/Legal-BERTimbau-sts-large-ma-v3,,,
2023-Jun-17 12:13:02,bm25,100,300,0.0,9.444,26.239,12,0.131,total,,,,
2023-Jun-17 12:13:29,sts_multihop,100,300,0.0,4.13,20.461,12,0.053,total_gte_5,rufimelo/Legal-BERTimbau-sts-large-ma-v3,,,
2023-Jun-17 12:13:32,sts,100,300,0.0,3.47,21.538,12,0.024,total_gte_5,rufimelo/Legal-BERTimbau-sts-large-ma-v3,,,
2023-Jun-17 12:13:33,bm25,100,300,0.0,5.31,17.494,12,0.01,total_gte_5,,,,
2023-Jun-17 18:21:57,bm25,100,300,0.0,3.75,62.094,12,0.693,area,,unicamp-dl/mt5-3B-mmarco-en-pt,,
2023-Jun-17 18:23:09,sts,100,300,0.0,3.75,62.094,12,0.719,area,rufimelo/Legal-BERTimbau-sts-large-ma-v3,unicamp-dl/mt5-3B-mmarco-en-pt,,
2023-Jun-17 18:57:07,bm25,100,300,0.0,26.969,53.772,12,20.372,theme,,unicamp-dl/mt5-3B-mmarco-en-pt,,
2023-Jun-17 19:31:52,sts,100,300,0.0,25.102,51.224,12,20.844,theme,rufimelo/Legal-BERTimbau-sts-large-ma-v3,unicamp-dl/mt5-3B-mmarco-en-pt,,
2023-Jun-17 20:06:41,bm25,100,300,0.0,24.391,35.315,12,20.883,subtheme,,unicamp-dl/mt5-3B-mmarco-en-pt,,
2023-Jun-17 20:40:24,sts,100,300,0.0,31.27,32.44,12,20.231,subtheme,rufimelo/Legal-BERTimbau-sts-large-ma-v3,unicamp-dl/mt5-3B-mmarco-en-pt,,
2023-Jun-17 21:14:51,bm25,100,300,0.0,18.459,26.351,12,20.662,extra,,unicamp-dl/mt5-3B-mmarco-en-pt,,
2023-Jun-17 21:48:06,sts,100,300,0.0,25.342,23.103,12,19.951,extra,rufimelo/Legal-BERTimbau-sts-large-ma-v3,unicamp-dl/mt5-3B-mmarco-en-pt,,
2023-Jun-17 22:23:15,bm25,100,300,0.0,4.596,37.437,12,21.083,total,,unicamp-dl/mt5-3B-mmarco-en-pt,,
2023-Jun-17 22:57:10,sts,100,300,0.0,7.87,33.769,12,20.343,total,rufimelo/Legal-BERTimbau-sts-large-ma-v3,unicamp-dl/mt5-3B-mmarco-en-pt,,
2023-Jun-17 22:58:33,bm25,100,300,0.0,3.63,21.767,12,0.825,total_gte_5,,unicamp-dl/mt5-3B-mmarco-en-pt,,
2023-Jun-17 22:59:47,sts,100,300,0.0,3.63,21.767,12,0.741,total_gte_5,rufimelo/Legal-BERTimbau-sts-large-ma-v3,unicamp-dl/mt5-3B-mmarco-en-pt,,
2023-Jun-18 10:40:34,sts_multihop,100,300,0.0,8.939,30.691,12,20.262,total,rufimelo/Legal-BERTimbau-sts-large-ma-v3,unicamp-dl/mt5-3B-mmarco-en-pt,,
2023-Jun-18 10:41:53,sts_multihop,100,300,0.0,3.63,21.767,12,0.783,total_gte_5,rufimelo/Legal-BERTimbau-sts-large-ma-v3,unicamp-dl/mt5-3B-mmarco-en-pt,,
2023-Jun-18 12:05:52,join_sts_multihop_bm25,100,300,0.0,4.37,57.681,12,0.062,area,rufimelo/Legal-BERTimbau-sts-large-ma-v3,,,
2023-Jun-18 12:05:56,join_sts_bm25,100,300,0.0,3.62,61.063,12,0.032,area,rufimelo/Legal-BERTimbau-sts-large-ma-v3,,,
2023-Jun-18 12:06:21,join_sts_multihop_bm25,100,300,0.0,60.284,14.431,12,0.246,theme,rufimelo/Legal-BERTimbau-sts-large-ma-v3,,,
2023-Jun-18 12:06:37,join_sts_bm25,100,300,0.0,55.531,11.675,12,0.16,theme,rufimelo/Legal-BERTimbau-sts-large-ma-v3,,,
2023-Jun-18 12:07:03,join_sts_multihop_bm25,100,300,0.0,63.652,12.133,12,0.25,subtheme,rufimelo/Legal-BERTimbau-sts-large-ma-v3,,,
2023-Jun-18 12:07:19,join_sts_bm25,100,300,0.0,74.183,8.605,12,0.158,subtheme,rufimelo/Legal-BERTimbau-sts-large-ma-v3,,,
2023-Jun-18 12:07:44,join_sts_multihop_bm25,100,300,0.0,65.0,11.498,12,0.246,extra,rufimelo/Legal-BERTimbau-sts-large-ma-v3,,,
2023-Jun-18 12:08:00,join_sts_bm25,100,300,0.0,65.819,9.76,12,0.158,extra,rufimelo/Legal-BERTimbau-sts-large-ma-v3,,,
2023-Jun-18 12:08:26,join_sts_multihop_bm25,100,300,0.0,28.949,12.226,12,0.249,total,rufimelo/Legal-BERTimbau-sts-large-ma-v3,,,
2023-Jun-18 12:08:42,join_sts_bm25,100,300,0.0,36.929,9.885,12,0.162,total,rufimelo/Legal-BERTimbau-sts-large-ma-v3,,,
2023-Jun-18 12:08:49,join_sts_multihop_bm25,100,300,0.0,4.13,20.461,12,0.062,total_gte_5,rufimelo/Legal-BERTimbau-sts-large-ma-v3,,,
2023-Jun-18 12:08:53,join_sts_bm25,100,300,0.0,3.47,21.538,12,0.032,total_gte_5,rufimelo/Legal-BERTimbau-sts-large-ma-v3,,,
2023-Jun-18 12:16:51,join_sts_bm25,100,300,0.0,3.75,62.094,12,0.721,area,rufimelo/Legal-BERTimbau-sts-large-ma-v3,unicamp-dl/mt5-3B-mmarco-en-pt,,
2023-Jun-18 12:42:10,join_sts_bm25,100,300,0.0,21.031,52.294,12,15.185,theme,rufimelo/Legal-BERTimbau-sts-large-ma-v3,unicamp-dl/mt5-3B-mmarco-en-pt,,
2023-Jun-18 13:10:11,join_sts_bm25,100,300,0.0,19.38,35.174,12,16.809,subtheme,rufimelo/Legal-BERTimbau-sts-large-ma-v3,unicamp-dl/mt5-3B-mmarco-en-pt,,
2023-Jun-18 13:39:54,join_sts_bm25,100,300,0.0,16.193,25.648,12,17.829,extra,rufimelo/Legal-BERTimbau-sts-large-ma-v3,unicamp-dl/mt5-3B-mmarco-en-pt,,
2023-Jun-18 14:10:22,join_sts_bm25,100,300,0.0,4.838,36.702,12,18.276,total,rufimelo/Legal-BERTimbau-sts-large-ma-v3,unicamp-dl/mt5-3B-mmarco-en-pt,,
2023-Jun-18 14:11:42,join_sts_bm25,100,300,0.0,3.63,21.767,12,0.792,total_gte_5,rufimelo/Legal-BERTimbau-sts-large-ma-v3,unicamp-dl/mt5-3B-mmarco-en-pt,,
