ID,KEY,COUNT,AVG_POSITION
81939,JURISPRUDENCIA-SELECIONADA-81939,13,3.0
17870,JURISPRUDENCIA-SELECIONADA-17870,13,2.3846153846153846
135146,JURISPRUDENCIA-SELECIONADA-135146,13,1.8461538461538463
132154,JURISPRUDENCIA-SELECIONADA-132154,13,2.6923076923076925
21906,JURISPRUDENCIA-SELECIONADA-21906,13,3.3846153846153846
68667,JURISPRUDENCIA-SELECIONADA-68667,13,3.076923076923077
18060,JURISPRUDENCIA-SELECIONADA-18060,13,6.0
143062,JURISPRUDENCIA-SELECIONADA-143062,13,2.769230769230769
36742,JURISPRUDENCIA-SELECIONADA-36742,13,2.3076923076923075
31437,JURISPRUDENCIA-SELECIONADA-31437,13,2.769230769230769
18936,JURISPRUDENCIA-SELECIONADA-18936,13,7.769230769230769
71729,JURISPRUDENCIA-SELECIONADA-71729,13,5.769230769230769
34146,JURISPRUDENCIA-SELECIONADA-34146,13,1.0
14844,JURISPRUDENCIA-SELECIONADA-14844,13,2.5384615384615383
77959,JURISPRUDENCIA-SELECIONADA-77959,13,5.3076923076923075
16950,JURISPRUDENCIA-SELECIONADA-16950,13,9.846153846153847
76208,JURISPRUDENCIA-SELECIONADA-76208,13,3.6153846153846154
103458,JURISPRUDENCIA-SELECIONADA-103458,13,2.230769230769231
28946,JURISPRUDENCIA-SELECIONADA-28946,13,1.0769230769230769
53641,JURISPRUDENCIA-SELECIONADA-53641,13,5.153846153846154
3850,JURISPRUDENCIA-SELECIONADA-3850,12,2.916666666666667
133729,JURISPRUDENCIA-SELECIONADA-133729,12,2.333333333333333
134263,JURISPRUDENCIA-SELECIONADA-134263,12,1.3333333333333333
37093,JURISPRUDENCIA-SELECIONADA-37093,12,1.5
111316,JURISPRUDENCIA-SELECIONADA-111316,12,2.0
135758,JURISPRUDENCIA-SELECIONADA-135758,12,1.8333333333333335
34258,JURISPRUDENCIA-SELECIONADA-34258,12,3.8333333333333335
16358,JURISPRUDENCIA-SELECIONADA-16358,12,3.6666666666666665
60811,JURISPRUDENCIA-SELECIONADA-60811,12,3.0
38932,JURISPRUDENCIA-SELECIONADA-38932,12,3.1666666666666665
33113,JURISPRUDENCIA-SELECIONADA-33113,12,1.6666666666666665
34099,JURISPRUDENCIA-SELECIONADA-34099,12,1.3333333333333333
17022,JURISPRUDENCIA-SELECIONADA-17022,12,6.166666666666667
58195,JURISPRUDENCIA-SELECIONADA-58195,12,1.0
53841,JURISPRUDENCIA-SELECIONADA-53841,12,3.9166666666666665
6337,JURISPRUDENCIA-SELECIONADA-6337,12,3.0833333333333335
21164,JURISPRUDENCIA-SELECIONADA-21164,12,3.75
1985,JURISPRUDENCIA-SELECIONADA-1985,12,1.0833333333333333
20870,JURISPRUDENCIA-SELECIONADA-20870,12,3.0
104236,JURISPRUDENCIA-SELECIONADA-104236,12,3.75
20475,JURISPRUDENCIA-SELECIONADA-20475,12,2.833333333333333
21859,JURISPRUDENCIA-SELECIONADA-21859,12,3.1666666666666665
21818,JURISPRUDENCIA-SELECIONADA-21818,12,2.833333333333333
109711,JURISPRUDENCIA-SELECIONADA-109711,12,2.166666666666667
18399,JURISPRUDENCIA-SELECIONADA-18399,12,3.4166666666666665
17359,JURISPRUDENCIA-SELECIONADA-17359,12,1.8333333333333335
128212,JURISPRUDENCIA-SELECIONADA-128212,12,2.25
31107,JURISPRUDENCIA-SELECIONADA-31107,12,3.8333333333333335
17289,JURISPRUDENCIA-SELECIONADA-17289,12,6.25
25478,JURISPRUDENCIA-SELECIONADA-25478,12,2.833333333333333
9884,JURISPRUDENCIA-SELECIONADA-9884,12,2.916666666666667
21939,JURISPRUDENCIA-SELECIONADA-21939,12,4.0
20588,JURISPRUDENCIA-SELECIONADA-20588,12,3.0
32920,JURISPRUDENCIA-SELECIONADA-32920,12,1.75
5435,JURISPRUDENCIA-SELECIONADA-5435,11,10.0
15758,JURISPRUDENCIA-SELECIONADA-15758,11,1.9090909090909092
58558,JURISPRUDENCIA-SELECIONADA-58558,11,1.5454545454545454
72502,JURISPRUDENCIA-SELECIONADA-72502,11,5.2727272727272725
22101,JURISPRUDENCIA-SELECIONADA-22101,11,1.1818181818181819
34529,JURISPRUDENCIA-SELECIONADA-34529,11,4.272727272727273
21285,JURISPRUDENCIA-SELECIONADA-21285,11,3.1818181818181817
15532,JURISPRUDENCIA-SELECIONADA-15532,11,2.0
54765,JURISPRUDENCIA-SELECIONADA-54765,11,5.636363636363637
75210,JURISPRUDENCIA-SELECIONADA-75210,11,6.090909090909091
12696,JURISPRUDENCIA-SELECIONADA-12696,11,4.363636363636363
54843,JURISPRUDENCIA-SELECIONADA-54843,11,4.090909090909091
34995,JURISPRUDENCIA-SELECIONADA-34995,11,1.5454545454545454
73794,JURISPRUDENCIA-SELECIONADA-73794,11,4.636363636363637
28931,JURISPRUDENCIA-SELECIONADA-28931,11,2.8181818181818183
116897,JURISPRUDENCIA-SELECIONADA-116897,11,3.8181818181818183
19340,JURISPRUDENCIA-SELECIONADA-19340,11,4.272727272727273
19355,JURISPRUDENCIA-SELECIONADA-19355,11,3.909090909090909
22166,JURISPRUDENCIA-SELECIONADA-22166,11,2.0
67014,JURISPRUDENCIA-SELECIONADA-67014,11,2.4545454545454546
41056,JURISPRUDENCIA-SELECIONADA-41056,11,2.4545454545454546
64402,JURISPRUDENCIA-SELECIONADA-64402,11,1.4545454545454546
14515,JURISPRUDENCIA-SELECIONADA-14515,11,1.5454545454545454
20561,JURISPRUDENCIA-SELECIONADA-20561,11,2.909090909090909
130292,JURISPRUDENCIA-SELECIONADA-130292,11,3.4545454545454546
81554,JURISPRUDENCIA-SELECIONADA-81554,11,2.090909090909091
21817,JURISPRUDENCIA-SELECIONADA-21817,11,3.0
17145,JURISPRUDENCIA-SELECIONADA-17145,11,1.9090909090909092
95491,JURISPRUDENCIA-SELECIONADA-95491,11,4.0
53626,JURISPRUDENCIA-SELECIONADA-53626,11,1.5454545454545454
113541,JURISPRUDENCIA-SELECIONADA-113541,11,2.7272727272727275
31684,JURISPRUDENCIA-SELECIONADA-31684,11,2.0
21187,JURISPRUDENCIA-SELECIONADA-21187,11,1.0
131880,JURISPRUDENCIA-SELECIONADA-131880,11,1.0
32974,JURISPRUDENCIA-SELECIONADA-32974,11,2.6363636363636367
21371,JURISPRUDENCIA-SELECIONADA-21371,11,3.909090909090909
17207,JURISPRUDENCIA-SELECIONADA-17207,11,2.0
17255,JURISPRUDENCIA-SELECIONADA-17255,11,1.1818181818181819
103559,JURISPRUDENCIA-SELECIONADA-103559,11,1.5454545454545454
50096,JURISPRUDENCIA-SELECIONADA-50096,10,1.4
140313,JURISPRUDENCIA-SELECIONADA-140313,10,1.7
131533,JURISPRUDENCIA-SELECIONADA-131533,10,2.8
139432,JURISPRUDENCIA-SELECIONADA-139432,10,3.5
20534,JURISPRUDENCIA-SELECIONADA-20534,10,2.5
25137,JURISPRUDENCIA-SELECIONADA-25137,10,2.0
45381,JURISPRUDENCIA-SELECIONADA-45381,10,1.8
75561,JURISPRUDENCIA-SELECIONADA-75561,10,2.9
20506,JURISPRUDENCIA-SELECIONADA-20506,10,7.4
139562,JURISPRUDENCIA-SELECIONADA-139562,10,5.2
22168,JURISPRUDENCIA-SELECIONADA-22168,10,2.5
67963,JURISPRUDENCIA-SELECIONADA-67963,10,2.3
47161,JURISPRUDENCIA-SELECIONADA-47161,10,4.0
96554,JURISPRUDENCIA-SELECIONADA-96554,10,1.9
141147,JURISPRUDENCIA-SELECIONADA-141147,10,5.1
21840,JURISPRUDENCIA-SELECIONADA-21840,10,8.2
134867,JURISPRUDENCIA-SELECIONADA-134867,10,4.4
17945,JURISPRUDENCIA-SELECIONADA-17945,10,3.0
107857,JURISPRUDENCIA-SELECIONADA-107857,10,1.3
31672,JURISPRUDENCIA-SELECIONADA-31672,10,2.1
31097,JURISPRUDENCIA-SELECIONADA-31097,10,1.3
15180,JURISPRUDENCIA-SELECIONADA-15180,10,7.8
16319,JURISPRUDENCIA-SELECIONADA-16319,10,2.3
18383,JURISPRUDENCIA-SELECIONADA-18383,10,3.9
33055,JURISPRUDENCIA-SELECIONADA-33055,10,8.0
93703,JURISPRUDENCIA-SELECIONADA-93703,10,5.4
34686,JURISPRUDENCIA-SELECIONADA-34686,10,2.1
22108,JURISPRUDENCIA-SELECIONADA-22108,10,1.3
72884,JURISPRUDENCIA-SELECIONADA-72884,10,5.0
9652,JURISPRUDENCIA-SELECIONADA-9652,10,1.5
62787,JURISPRUDENCIA-SELECIONADA-62787,10,2.9
15441,JURISPRUDENCIA-SELECIONADA-15441,10,1.0
87314,JURISPRUDENCIA-SELECIONADA-87314,10,1.4
