INDEX_NAME,RETRIEVER_TYPE,RANKER_TYPE,NUM_EXPANSAO,EXPANSOR_CRITERIA,NDCG@5_count,NDCG@5_mean,NDCG@5_median,NDCG@10_count,NDCG@10_mean,NDCG@10_median,NDCG@15_count,NDCG@15_mean,NDCG@15_median,NDCG@20_count,NDCG@20_mean,NDCG@20_median,PRECISION@50_count,PRECISION@50_mean,PRECISION@50_median,RECALL@50_count,RECALL@50_mean,RECALL@50_median,PRECISION@100_count,PRECISION@100_mean,PRECISION@100_median,RECALL@100_count,RECALL@100_mean,RECALL@100_median
indir_juris_tcu_synonym,bm25,none,0,none,150,58.33226666666667,64.32499999999999,150,55.23866666666666,62.415,150,57.71713333333333,63.620000000000005,150,60.34513333333334,65.415,150,13.533333333333333,16.0,150,79.13642666666667,88.889,150,7.373333333333333,8.0,150,85.8228,90.909
indir_juris_tcu_related_term,bm25,PTT5_INDIR_83,1,join_30_ptt5_indir,150,54.27366666666667,57.775,150,52.17093333333334,55.315,150,54.97366666666666,58.915,150,57.8094,59.95,150,13.426666666666666,14.0,150,79.13878666666666,89.4445,150,7.4,8.0,150,85.97888,100.0
indir_juris_tcu,bm25,PTT5_INDIR_83,5,join_30_ptt5_indir,150,64.52426666666666,71.055,150,59.70953333333333,66.41499999999999,150,63.18786666666667,67.5,150,65.41673333333334,71.19,150,13.906666666666666,16.0,150,81.11490666666667,90.0,150,7.38,8.0,150,86.02856666666666,100.0
indir_juris_tcu,bm25,PTT5_INDIR_83,4,join_30_ptt5_indir,150,65.20213333333334,71.06,150,60.844,66.525,150,63.56286666666667,66.12,150,65.84553333333334,69.91499999999999,150,14.106666666666667,16.0,150,82.38928666666666,90.0,150,7.453333333333333,8.0,150,86.50438666666666,100.0
indir_juris_tcu_synonym,bm25,PTT5_INDIR_83,1,join_30_ptt5_indir,150,55.3026,61.605000000000004,150,52.403400000000005,56.25,150,56.07580000000001,60.8,150,58.83326666666667,63.135000000000005,150,13.4,14.0,150,78.63213333333333,90.0,150,7.406666666666666,8.0,150,86.54222666666668,100.0
indir_juris_tcu,bm25,PTT5_INDIR_83,3,join_30_ptt5_indir,150,65.37126666666667,70.98,150,60.98933333333333,66.4,150,63.59373333333333,67.755,150,66.4982,70.46000000000001,150,14.026666666666667,16.0,150,82.52412,90.0,150,7.413333333333333,8.0,150,86.67895333333334,100.0
indir_juris_tcu,bm25,PTT5_INDIR_83,2,join_30_ptt5_indir,150,66.23606666666666,72.27,150,60.85013333333334,65.94,150,64.20313333333333,68.24000000000001,150,67.21093333333333,71.61,150,14.146666666666667,16.0,150,83.06902,90.4545,150,7.453333333333333,8.0,150,87.20685333333334,100.0
indir_juris_tcu_synonym_related_term,bm25,PTT5_INDIR_83,0,none,150,56.63113333333333,60.345,150,53.60666666666667,55.435,150,57.139733333333325,60.35,150,60.7962,63.89,150,13.76,14.0,150,80.44058666666666,89.4445,150,7.486666666666666,8.0,150,87.46125333333333,100.0
indir_juris_tcu_term,bm25,PTT5_INDIR_83,4,join_30_ptt5_indir,150,62.199066666666674,65.73,150,57.41833333333334,62.519999999999996,150,60.6988,65.97999999999999,150,63.83586666666666,69.42500000000001,150,14.0,16.0,150,82.44951999999999,90.909,150,7.473333333333334,8.0,150,87.63973999999999,100.0
indir_juris_tcu_term,bm25,PTT5_INDIR_83,6,join_30_ptt5_indir,150,60.52586666666666,65.905,150,56.45066666666667,61.83,150,59.358866666666664,63.995000000000005,150,62.4372,68.23,150,13.96,16.0,150,82.03688666666666,90.0,150,7.506666666666667,8.0,150,87.76161333333333,100.0
